Employee_ID;Salary;Department
15925;9605;6
7758;1942;2
4401;2695;9
17860;4322;1
17802;7239;8
21759;7425;4
158;6537;0
25921;4716;10
23521;8393;4
5845;3240;0
22820;5630;2
4837;6655;2
13257;9238;4
16899;2505;10
12622;4187;9
22649;1853;4
15156;5968;4
692;4561;1
19185;3488;2
20745;5905;4
23428;7578;4
15844;2447;6
10751;8093;10
10644;6540;9
5096;8862;10
15255;2482;9
5243;8885;9
5024;5771;9
22760;4024;9
12108;9068;6
7963;8312;4
4172;1144;3
22848;5567;0
12123;5284;6
10728;5541;6
24966;4576;9
22821;2856;3
24880;5271;1
19665;9198;10
27905;3545;6
11830;7142;1
21511;8517;0
9038;9762;2
27364;8245;4
15483;7163;8
9922;7515;2
21729;6570;3
13781;8470;0
22200;2394;5
2048;8253;3
2175;1868;1
9895;8750;4
26641;9920;2
23351;6536;4
23933;9541;9
27343;4429;7
22571;7304;9
19836;4057;5
303;9256;2
3114;5557;3
21173;3151;10
20365;4150;8
23923;2325;3
16701;2660;3
18029;3417;10
20073;6019;5
16801;9984;0
23125;2312;0
7697;1381;10
17981;6711;3
26046;8757;8
25131;7033;8
29244;8586;3
15872;6377;3
8619;1338;3
6925;5625;1
12525;3275;4
21183;4671;7
10399;6547;1
5358;3146;3
28932;7525;4
25307;5065;0
3873;6096;5
1840;8962;3
19458;5859;1
9094;4062;2
23306;8503;7
10186;6723;1
19143;3458;0
20284;9383;8
7959;7402;4
26634;1360;5
9263;3449;9
8671;4233;8
7195;3800;1
25050;7588;1
16254;2000;2
27089;5062;4
14770;8150;9
5850;4408;5
17747;3931;7
6286;5981;9
10588;6314;3
3090;9609;6
17794;7891;7
8118;5104;8
21301;7092;1
16333;7895;6
14785;4958;6
5503;9118;1
6161;6859;4
14600;5120;8
2729;3711;2
19792;3393;10
21081;9126;3
13632;1229;5
22415;9697;2
27797;2511;9
15752;6392;2
24647;2255;4
4207;7416;4
15892;6958;3
17137;4301;10
6927;8147;4
19079;1774;2
18610;8484;4
1311;5196;10
17546;6615;9
10602;1090;0
11181;3194;2
28109;9704;8
14387;4278;1
16169;8921;8
23938;8618;0
26189;3736;7
2343;5278;7
13845;3353;2
18522;5579;6
1662;9823;1
17083;1144;5
5711;4812;9
10846;9005;1
10110;4969;1
19500;4289;1
2468;8352;1
3984;5670;10
2762;1821;1
5950;6640;6
26821;1073;10
3298;7274;0
8208;2640;3
11343;7821;3
11631;1430;4
12166;6136;2
5484;5648;5
1230;8565;5
28793;7422;7
15193;4434;2
25422;2402;5
25508;4487;5
20503;9203;1
17836;7312;5
6271;4746;4
24956;6047;9
13287;3051;2
27961;6263;4
13712;8425;7
25158;6936;9
17890;6973;7
11170;4849;7
19754;2850;9
1853;7182;8
17141;3868;2
3681;2789;9
10705;1317;0
2578;4292;1
10815;3464;7
28685;5885;0
29415;8224;6
277;6745;5
17926;5407;5
10087;2287;10
8802;7361;2
27781;4504;8
4716;2621;0
16511;4463;0
19743;2088;9
27517;7920;3
28836;7522;2
28904;8154;3
15721;3693;7
19374;2720;9
15348;3871;7
17239;1397;4
25603;6697;6
27071;7773;1
23891;4687;9
15716;1154;9
24052;1247;1
18945;9110;3
22366;9251;0
10443;7171;2
7395;8259;8
20842;5362;9
4394;4569;4
1517;5763;1
27847;7283;4
21642;2952;8
7073;7206;10
24244;3945;9
25223;7099;5
13734;4663;6
2388;7112;1
14912;9123;10
27660;1801;5
4398;9391;2
14566;4155;3
6765;4281;3
11200;7450;4
20959;2609;9
13073;4877;8
17207;2921;5
14339;3315;6
6695;1150;4
28887;9465;0
14632;3830;6
3460;9928;3
11059;1700;5
19309;3118;6
17041;6168;2
4516;9504;5
4187;4710;5
1515;1976;0
21947;6791;10
9925;8053;10
18864;8679;5
20782;6351;10
4666;8907;9
22151;2224;4
29078;5853;0
13247;9489;5
4489;6606;3
21624;5423;10
18019;5628;1
21552;7778;9
86;8369;5
11604;7316;3
11926;1526;1
24214;2613;3
8456;1016;6
770;4114;6
23028;9044;6
17792;7821;5
21903;1159;6
6451;7494;10
17752;8331;5
22593;5973;5
16484;3184;4
12443;5071;1
10886;4919;1
21993;2423;10
6058;4215;9
28533;9806;7
15809;2502;3
1481;7810;10
13087;9641;3
9150;5369;6
19363;5890;4
7797;1687;9
10223;4666;6
18177;7655;9
27831;8064;6
25437;3577;6
15903;4426;10
18883;8921;7
13210;4149;3
2405;7510;9
14772;5769;10
5603;6268;6
8299;6594;4
266;6546;10
560;2086;1
5777;3483;5
21898;7599;1
21381;3571;9
2347;2274;7
16049;8451;0
6538;6475;0
312;1802;6
9939;7190;2
15062;6163;7
14539;9873;5
15660;7428;9
24128;7754;10
4060;7197;1
10650;1439;0
1438;8319;1
4804;2276;8
8622;1554;5
27210;6249;4
511;1114;0
6064;3007;3
25273;1908;2
12523;9276;0
26858;9366;0
23184;5269;1
22669;5214;0
1294;2827;3
17928;5916;9
624;1529;10
6267;4976;2
20435;3743;6
26515;4538;4
1462;5044;8
27675;7170;7
29377;1338;0
13574;8398;9
22602;6159;9
13990;8768;10
7298;3640;9
12309;2413;8
13498;5290;8
16985;1018;9
25580;9803;2
17274;7413;6
13869;3175;9
11535;2902;6
10010;5080;2
1413;5754;6
24674;3272;0
22577;3332;5
25464;6817;8
24564;9612;0
1323;8682;2
22182;1353;4
15701;4581;5
26468;9035;1
24507;2453;2
8655;7144;7
23440;1624;8
14520;3234;7
3537;3034;1
17283;7780;0
29355;2279;2
19237;4583;7
13515;1136;4
15669;9715;4
15728;7903;2
5186;7245;3
23015;7891;5
5702;7396;7
22471;3330;0
16220;6903;6
14211;2263;6
15188;9673;5
11061;6124;1
4831;5889;8
26652;7332;8
28233;7948;6
24150;6403;3
29438;2092;2
15520;9594;4
25407;9133;1
27401;7054;7
3983;2552;6
22753;2409;8
3138;6838;4
13778;9798;6
24724;5147;10
7926;1475;9
20260;8486;6
22929;1487;0
1842;3231;2
17157;6762;4
22858;1964;2
19107;4316;7
28459;6547;1
27180;7772;2
14656;3787;6
24252;7698;4
12009;9210;8
25027;9223;1
8939;8679;5
25376;9353;10
6377;9193;4
22904;4629;6
24195;8189;0
21506;7848;5
10320;1518;9
13673;1285;8
17897;4414;7
5504;2311;9
23514;4040;9
6406;4337;0
9142;8428;6
25203;3041;2
13630;4515;5
26205;9822;8
23571;1658;1
22472;5113;3
24368;6965;0
25423;4403;1
20707;4066;4
14610;3391;10
14744;8417;0
18476;2945;6
16060;9442;5
10155;6143;9
27460;9260;10
4095;3628;3
9320;5290;3
20924;3110;8
27311;9348;6
25276;9824;8
4665;5084;0
21683;7908;0
23023;8681;3
3274;2357;7
4030;5323;10
26073;5066;10
5874;1979;3
18814;1586;6
21030;2081;3
2644;8001;3
2203;2006;6
12050;8652;6
4876;9354;10
12915;8177;4
11667;4025;0
1277;2210;7
25148;4763;7
29592;7977;9
16298;6890;3
15454;3789;3
18889;8560;1
8339;7359;2
3474;2010;0
12394;5068;1
24888;8270;9
24979;8820;4
22268;5297;6
14477;1426;5
23410;3818;5
10797;7023;0
26326;4561;7
14611;1655;5
13826;3835;2
16420;6469;2
557;6915;7
29214;6506;0
26077;8622;5
11497;1384;4
16945;3091;2
20545;9961;1
8979;4603;0
12368;6653;4
21057;4502;7
27042;7333;3
17134;4115;4
2495;4074;6
5492;2106;6
18671;8423;3
4238;2703;1
10719;8947;7
26732;4971;10
14167;2460;3
26801;5526;0
1787;1087;10
29382;5201;10
19119;9145;8
27229;1949;3
12397;4294;10
12904;2911;0
29314;6200;9
28651;7351;6
8152;6758;5
23941;1492;4
19090;6350;7
2125;7750;5
19850;2093;9
28929;9807;10
25141;8336;0
25344;5896;2
2757;1445;6
28479;3566;7
9199;9691;7
19312;4118;4
3431;9261;7
22623;9383;9
21894;6452;6
13405;4875;5
10993;2779;9
2310;5447;5
18064;2194;9
5485;5499;8
22028;9637;8
15028;3559;1
24067;9107;7
24280;2274;9
3500;4572;7
6819;8679;5
23898;9046;4
325;3816;2
2142;6807;10
1501;2781;5
17001;5663;6
17407;8679;1
6903;6475;2
574;3799;1
8552;6653;4
13854;3496;8
6680;7695;1
6401;5585;3
15878;8144;3
6515;8162;3
27550;4483;8
16212;1273;1
15646;7774;7
10649;2529;3
7975;8814;4
12922;7257;5
2356;4100;5
15203;7520;4
7051;3970;10
16954;9632;3
4276;1201;5
5094;4834;4
11873;7439;0
9757;6598;6
8229;5488;9
16229;2214;7
16938;3019;9
18795;3942;6
13007;6656;9
6094;3463;7
4036;9395;10
27499;3950;10
18033;4773;8
26908;9775;6
4454;6882;0
10066;7662;8
15969;2798;7
1324;1197;9
22298;6432;3
22115;6829;9
29375;3454;1
13131;4128;2
3058;1343;8
11634;1428;3
25539;1735;10
7271;3728;7
12572;5227;8
